quote,author,tags
dumbledore watched her fly away and as her silvery glow faded he turned back to snape and his eyes were full of tearsafter all this timealways said snape,jk rowling,"['dumbledore', 'life', 'love', 'snape']"
there is nothing to writing all you do is sit down at a typewriter and bleed,ernest hemingway,"['good', 'writing']"
i declare after all there is no enjoyment like reading how much sooner one tires of any thing than of a book  when i have a house of my own i shall be miserable if i have not an excellent library,jane austen,"['books', 'library', 'reading']"
and when you want something all the universe conspires in helping you to achieve it,paulo coelho,['inspirational']
i am good but not an angel i do sin but i am not the devil i am just a small girl in a big world trying to find someone to love,marilyn monroe,[]
he has achieved success who has lived well laughed often and loved muchwho has enjoyed the trust of pure women the respect of intelligent men and the love of little childrenwho has filled his niche and accomplished his taskwho has never lacked appreciation of earths beauty or failed to express itwho has left the world better than he found itwhether an improved poppy a perfect poem or a rescued soulwho has always looked for the best in others and given them the best he hadwhose life was an inspirationwhose memory a benediction,bessie anderson stanley,"['life', 'misattributedtoemerson', 'success', 'widelymisattributed']"
you may say im a dreamer but im not the only one i hope someday youll join us and the world will live as one,john lennon,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']"
ive been making a list of the things they dont teach you at school they dont teach you how to love somebody they dont teach you how to be famous they dont teach you how to be rich or how to be poor they dont teach you how to walk away from someone you dont love any longer they dont teach you how to know whats going on in someone elses mind they dont teach you what to say to someone whos dying they dont teach you anything worth knowing,neil gaiman,"['dying', 'facts', 'fame', 'knowing', 'love', 'poverty', 'reality', 'school', 'teach', 'wealth']"
classic  a book which people praise and dont read,mark twain,"['books', 'classic', 'reading']"
i love mankind  its people i cant stand,charles m schulz,"['humor', 'mankind', 'people']"
you dont forget the face of the person who was your last hope,suzanne collins,['thehungergames']
i am free of all prejudice i hate everyone equally,wc fields,"['humor', 'sinister']"
finish each day and be done with it you have done what you could some blunders and absurdities no doubt crept in forget them as soon as you can tomorrow is a new day you shall begin it serenely and with too high a spirit to be encumbered with your old nonsense,ralph waldo emerson,"['life', 'regrets']"
i have never let my schooling interfere with my education,mark twain,['education']
the books that the world calls immoral are books that show the world its own shame,oscar wilde,"['books', 'morality', 'reading']"
the marks humans leave are too often scars,john green,"['humans', 'pain', 'scars']"
you never really understand a person until you consider things from his point of view until you climb inside of his skin and walk around in it,harper lee,['betterlifeempathy']
remember were madly in love so its all right to kiss me anytime you feel like it,suzanne collins,['humor']
a ladys imagination is very rapid it jumps from admiration to love from love to matrimony in a moment,jane austen,"['humor', 'love', 'romantic', 'women']"
to die will be an awfully big adventure,jm barrie,"['adventure', 'love']"
our deepest fear is not that we are inadequate our deepest fear is that we are powerful beyond measure it is our light not our darkness that most frightens us we ask ourselves who am i to be brilliant gorgeous talented fabulous actually who are you not to be you are a child of god your playing small does not serve the world there is nothing enlightened about shrinking so that other people wont feel insecure around you we are all meant to shine as children do we were born to make manifest the glory of god that is within us its not just in some of us its in everyone and as we let our own light shine we unconsciously give other people permission to do the same as we are liberated from our own fear our presence automatically liberates others,marianne williamson,"['akeelah', 'fear', 'inspirational']"
anyone who has never made a mistake has never tried anything new,albert einstein,['mistakes']
some day you will be old enough to start reading fairy tales again,cs lewis,"['age', 'fairytales', 'growingup']"
we are what we pretend to be so we must be careful about what we pretend to be,kurt vonnegut,"['action', 'attitude', 'choice', 'imagination', 'inspiration', 'life', 'pretend']"
it takes courage to grow up and become who you really are,ee cummings,['courage']
its no use going back to yesterday because i was a different person then,lewis carroll,"['alice', 'humor', 'inspirational', 'philosophyoflife', 'psychological', 'yesterday']"
and in that moment i swear we were infinite,stephen chbosky,['infinity']
